1-t,2-t,label
-65.21086,-77.28518,early_19th-century_style
-52.18643,-71.929985,early_19th-century_style
-77.74877,-68.983925,18th-century_style
-47.18347,-12.427494,contemporary
-65.52135,-65.77383,late_19th-century_style
-77.68666,-65.34028,contemporary
-69.49979,-59.40006,early_19th-century_style
-66.28167,-31.542736,late_19th-century_style
-82.45658,-61.322384,18th-century_style
-77.517235,-46.841774,18th-century_style
-64.13098,-68.33768,early_19th-century_style
-63.93987,59.968277,contemporary
-46.77517,-71.38009,early_19th-century_style
-82.526825,-59.646576,18th-century_style
-90.76723,-8.815513,late_19th-century_style
-66.97155,-61.628258,early_19th-century_style
-66.23266,-76.564354,contemporary
-72.58461,-64.244316,18th-century_style
-72.64015,-64.246956,18th-century_style
-62.63374,-70.73255,early_19th-century_style
-70.47021,-65.09084,late_19th-century_style
-61.472557,-73.98224,early_19th-century_style
-77.3381,-60.63806,contemporary
-74.706474,-56.266315,18th-century_style
-98.61052,-28.56227,late_19th-century_style
-43.76975,-12.934016,contemporary
-54.44912,-36.692017,late_19th-century_style
-52.991547,-9.699903,late_19th-century_style
-40.525753,-22.622646,early_19th-century_style
-39.90162,-22.721144,revival
-79.875626,-48.724125,18th-century_style
-48.3019,-73.49639,early_19th-century_style
-56.803352,-52.538002,early_19th-century_style
-43.917686,-21.89056,early_19th-century_style
-91.1699,-23.285896,late_19th-century_style
-99.83801,-26.051771,late_19th-century_style
-51.90519,-60.176243,early_19th-century_style
-51.452,-60.04684,early_19th-century_style
-76.76605,-22.462023,late_19th-century_style
-99.00151,-25.061716,late_19th-century_style
-80.93729,-35.867863,late_19th-century_style
-71.88678,-59.41063,revival
-50.04713,-51.349747,late_19th-century_style
-100.87559,-36.47692,late_19th-century_style
-40.322437,-51.987522,early_19th-century_style
-69.30508,-33.428345,late_19th-century_style
-47.76754,-58.701477,early_19th-century_style
-47.74387,-58.81245,contemporary
-62.36794,-67.06848,late_19th-century_style
-83.67888,-62.99199,18th-century_style
-77.937454,-54.801098,18th-century_style
-81.54308,-55.48578,18th-century_style
-85.33073,-63.3547,18th-century_style
-59.28422,-54.90451,late_19th-century_style
-81.53986,-55.484947,18th-century_style
-71.785,-57.633766,revival
-85.62019,-28.221998,late_19th-century_style
-45.010647,-11.693952,contemporary
-62.50633,-65.83107,interwar
-60.196198,-68.34975,late_19th-century_style
-67.792984,-69.6401,18th-century_style
-67.792984,-69.6401,18th-century_style
-83.47989,-63.27856,18th-century_style
-61.53658,-78.25404,early_19th-century_style
-66.718346,-69.97956,18th-century_style
-66.46046,-67.60549,early_19th-century_style
-66.75751,-69.92471,18th-century_style
-60.196198,-68.34975,late_19th-century_style
-80.65903,-62.48377,18th-century_style
-80.65912,-62.481163,18th-century_style
-26.12394,-53.060143,contemporary
-95.3833,-35.302597,late_19th-century_style
-63.995003,-70.33255,early_19th-century_style
-73.66076,-57.36086,late_19th-century_style
-62.536453,-71.01112,early_19th-century_style
-62.535427,-71.00951,early_19th-century_style
-69.37621,-70.18777,18th-century_style
-26.020319,-51.934635,interwar
-56.22516,-69.74003,early_19th-century_style
-59.501,-71.56416,contemporary
-71.53702,-57.882477,contemporary
-59.37763,-5.671707,late_19th-century_style
-66.31616,-69.475945,late_19th-century_style
-62.517982,-60.07831,early_19th-century_style
-58.610077,-41.48168,late_19th-century_style
-75.86267,-62.274746,contemporary
-74.54486,-67.938156,18th-century_style
-55.656605,-22.289734,early_19th-century_style
-55.647495,-22.263327,contemporary
-65.64735,-67.601105,late_19th-century_style
-75.8626,-62.27563,contemporary
-71.076706,-69.82915,contemporary
