1-t,2-t,label
57.3658,-10.631649,1911–1943
32.987972,-37.690727,1911–1943
66.74742,-67.66841,1911–1943
-66.54933,-1.9883264,1978–1994
-60.171646,24.463322,1978–1994
61.05113,15.938382,1911–1943
33.24415,30.574137,1911–1943
-33.55092,17.405281,1995–2023
-48.643753,-26.564112,1846–1910
53.740234,66.744606,1911–1943
-47.11371,2.7014964,1978–1994
99.06677,11.967013,1911–1943
-16.593674,-94.19725,1846–1910
-62.018204,78.74436,1995–2023
-59.862934,76.39117,1995–2023
33.64063,45.504772,1911–1943
67.262375,-5.3783913,1911–1943
-43.522156,72.30754,1995–2023
-40.887856,-34.96765,1765–1845
-35.330498,58.494316,1911–1943
-88.95868,70.61867,1995–2023
-51.005264,68.51294,1995–2023
-11.026201,-4.758092,1911–1943
-107.96254,26.840345,1995–2023
55.026684,36.213013,1911–1943
-62.005722,24.505762,1978–1994
52.52043,42.927223,1911–1943
-47.471836,103.669174,1995–2023
-21.829277,-99.52969,1846–1910
39.69186,-80.58761,1911–1943
23.284866,-36.48133,1911–1943
97.71312,34.363926,1911–1943
27.849691,62.077938,1944–1977
21.351511,70.511375,1944–1977
106.78547,-44.383625,1911–1943
24.84919,-78.671776,1846–1910
-7.344481,67.57237,1944–1977
65.74388,0.47790948,1911–1943
-2.5320604,84.38438,1944–1977
-50.404484,53.954258,1995–2023
87.96678,-65.076904,1911–1943
17.418182,-93.20487,1846–1910
-20.731245,-70.021835,1995–2023
37.95689,91.68973,1911–1943
5.326803,80.26852,1944–1977
6.2172174,19.928326,1911–1943
-43.064804,57.08297,1995–2023
88.892365,49.520844,1911–1943
90.607994,-25.772099,1911–1943
-99.45883,37.302788,1995–2023
14.385342,-29.848518,1846–1910
2.8477612,38.175224,1944–1977
-3.8447845,8.746076,1911–1943
-67.99424,-49.457092,1846–1910
-3.8837857,-87.940285,1846–1910
12.865889,89.692955,1944–1977
-73.00243,75.96469,1995–2023
-0.8218076,-47.939373,1846–1910
26.295582,23.24139,1944–1977
-70.87797,6.987107,1978–1994
14.87102,55.096313,1944–1977
-16.9643,-78.64636,1846–1910
15.260827,-35.9023,1911–1943
101.48131,16.191425,1911–1943
49.924152,67.22678,1911–1943
-44.76956,20.174963,1978–1994
-1.4072875,0.18697466,1911–1943
-75.93569,52.693535,1995–2023
-41.899334,-41.25491,1765–1845
-34.514412,49.418766,1978–1994
-67.90749,-50.420418,pre-1652
41.664997,74.20011,1911–1943
37.214554,51.86191,1911–1943
-9.0841255,-103.33885,1846–1910
50.41857,-57.891838,1911–1943
18.53464,100.81443,1911–1943
50.658226,-39.102924,1911–1943
-60.5512,77.45546,1995–2023
39.24541,-58.03713,1911–1943
80.67373,36.527733,1911–1943
-4.666122,73.18702,1944–1977
9.597949,-5.601342,1911–1943
-25.463629,-39.27338,1911–1943
63.420074,-75.05953,1911–1943
-42.704906,37.892914,1995–2023
-27.854963,-37.119934,1846–1910
-36.11147,-30.640415,1846–1910
-45.054295,-26.165213,1846–1910
47.677753,2.1880937,1911–1943
20.560423,81.60765,1944–1977
7.633367,-42.7465,1846–1910
26.88053,4.5342803,1911–1943
-41.22475,53.135094,1995–2023
-9.98046,38.435112,1944–1977
30.231165,56.48499,1944–1977
92.199585,37.811043,1911–1943
39.199005,-55.075584,1911–1943
-57.89422,-56.49002,1846–1910
-35.28861,55.148746,1995–2023
-63.4301,-70.75594,1706–1764
69.92363,-16.708904,1911–1943
50.048958,-35.435787,1911–1943
-23.754246,-21.798666,1846–1910
-34.51759,-27.624601,1846–1910
-41.815247,-77.58075,1846–1910
-79.07798,-54.24677,1765–1845
-2.5257618,-27.319765,1978–1994
55.349854,-9.28158,1911–1943
-58.244667,67.87623,1995–2023
-68.01419,-28.30598,1706–1764
64.99318,6.9202523,1911–1943
18.573162,-63.467976,1846–1910
-0.96767604,-66.58965,1846–1910
-7.1018815,-63.008114,1846–1910
56.693893,-16.0471,1944–1977
-15.638446,8.773866,1911–1943
49.295788,25.541945,1911–1943
-90.79455,53.956524,1995–2023
3.374131,-1.2109114,1911–1943
33.586716,-2.0426757,1911–1943
67.76147,51.64023,1911–1943
4.074626,-0.46808955,1911–1943
-55.51166,-31.28903,1995–2023
78.78956,-30.328459,1911–1943
15.248905,-35.792152,1911–1943
56.573837,-46.0302,1911–1943
-68.08098,5.7760167,1978–1994
3.3572183,-73.75651,1846–1910
52.79336,-55.331066,1911–1943
1.1725192,-105.419044,1846–1910
-21.957561,24.96608,1911–1943
-66.988144,52.34787,1995–2023
36.177505,87.63388,1911–1943
70.9568,-26.11042,1911–1943
8.107633,40.56683,1944–1977
-3.4978273,45.196953,1944–1977
9.681894,-71.64182,1846–1910
-4.72888,85.936745,1944–1977
-15.52154,5.7395315,1911–1943
-55.639378,78.15626,1995–2023
-63.281307,-44.561794,1706–1764
-4.5847754,68.650734,1944–1977
-74.52069,2.0981572,1978–1994
9.6227665,68.553856,1944–1977
-56.381294,-44.908154,1706–1764
-76.92732,-46.702923,1653–1705
-60.92296,40.696426,1995–2023
-20.47932,2.8975358,1911–1943
-86.256805,36.479046,1995–2023
62.031246,-26.808825,1911–1943
9.388452,6.7306533,1911–1943
-62.493366,3.6901941,1978–1994
43.65835,41.59246,1911–1943
7.4728923,-10.645843,1911–1943
53.298626,-18.6366,1911–1943
7.311183,-80.58314,1911–1943
12.985544,-18.377466,1995–2023
-57.055634,80.700226,1995–2023
-3.038297,-3.0200045,1911–1943
-49.742146,73.9907,1995–2023
49.755486,1.7746465,1911–1943
-53.818695,-37.894382,1706–1764
62.867767,-39.637295,1911–1943
61.78518,-24.449991,1911–1943
63.194893,-12.737351,1911–1943
21.068228,70.81707,1944–1977
-83.81951,-65.756966,1653–1705
74.041534,-52.86213,1911–1943
38.851322,-37.228382,1911–1943
-56.209095,-26.582283,1911–1943
-4.359403,-69.12475,1846–1910
1.4066404,2.3496284,1911–1943
9.924315,61.912174,1944–1977
60.585835,-46.531025,1911–1943
-88.09677,70.37627,1995–2023
-13.55387,-103.83494,1846–1910
-35.790535,-35.43087,1765–1845
-63.0866,18.6582,1978–1994
22.862057,-103.41592,1846–1910
33.368446,47.094467,1911–1943
-44.739796,75.64849,1995–2023
-8.19914,37.39797,1944–1977
-5.495675,-64.192566,1846–1910
43.256165,35.477013,1911–1943
-8.425729,-52.2481,1846–1910
52.011757,-46.555202,1911–1943
-31.458748,13.889416,1978–1994
-19.481297,36.512806,1944–1977
-28.722332,27.551119,1911–1943
-6.6520967,-65.20849,1978–1994
14.810987,-32.472794,1911–1943
97.51337,-31.386923,1911–1943
32.486073,-57.93098,1911–1943
-14.75309,-50.213196,1911–1943
50.670166,-2.4436996,1995–2023
7.312215,54.79058,1944–1977
-60.0018,-42.848774,1706–1764
-28.712484,-7.106404,1911–1943
-60.12135,65.91466,1995–2023
41.288372,72.12228,1911–1943
20.395493,-76.73115,1846–1910
73.98158,72.8034,1911–1943
-12.687308,70.585976,1944–1977
-8.440055,21.111292,1944–1977
-85.90666,-60.433483,1653–1705
-40.599693,-42.39642,1911–1943
-9.919676,43.767727,1944–1977
13.429207,-96.57204,1846–1910
32.216892,48.252335,1911–1943
2.9288008,-35.622826,1846–1910
90.10821,53.13226,1911–1943
-1.0955747,-29.999123,1911–1943
34.808395,12.846112,1911–1943
78.06279,77.63859,1911–1943
-25.093449,46.723907,1944–1977
-47.605354,-56.36713,1911–1943
2.9031754,90.13418,1944–1977
9.656228,39.000534,1944–1977
12.951196,-55.73942,1911–1943
78.06817,77.67159,1911–1943
40.80422,19.740698,1911–1943
-6.6439915,2.5671656,1911–1943
20.03535,16.763378,1911–1943
56.687344,5.773548,1911–1943
82.13022,31.066074,1911–1943
17.479555,26.83408,1911–1943
80.54721,5.4570775,1911–1943
-0.5239657,-50.79492,1846–1910
-17.261398,-62.245586,1846–1910
49.3427,25.671265,1911–1943
27.877586,-70.65465,1911–1943
-75.582634,-24.964233,1911–1943
-55.56927,62.365433,1995–2023
65.64182,-52.987957,1911–1943
-56.38486,12.228914,1978–1994
-63.001198,2.1399543,1978–1994
-21.948992,-16.366058,1846–1910
29.345203,70.5141,1944–1977
22.07213,-21.905476,1911–1943
75.18051,33.630367,1911–1943
37.91978,-86.69265,1911–1943
15.779851,10.600494,1911–1943
-48.492718,59.399406,1995–2023
12.002615,-59.2294,1846–1910
-69.3793,8.197512,1978–1994
61.394188,-65.415596,1911–1943
-17.28898,7.020305,1911–1943
50.237343,59.242218,1911–1943
-31.255836,-34.404633,1911–1943
4.9822054,28.817236,1911–1943
76.098274,-32.795193,1911–1943
12.658699,-92.77035,1846–1910
-58.432938,14.981069,1978–1994
-7.1519537,-9.560361,1846–1910
-58.994095,14.490593,1978–1994
-79.87007,5.220953,1978–1994
-4.347491,109.10274,1944–1977
-66.54138,25.858818,1995–2023
17.296404,-100.17369,1846–1910
46.862732,52.991398,1911–1943
32.2712,-58.9738,1911–1943
0.7649029,80.85279,1944–1977
5.7460284,42.52097,1944–1977
52.383545,34.830708,1911–1943
45.107742,-2.2384613,1911–1943
-41.269394,-26.757074,1846–1910
85.246544,-7.7462697,1911–1943
12.692934,9.514692,1911–1943
-41.28013,-61.422382,1911–1943
17.445705,-40.41552,1911–1943
-71.48601,14.311917,1978–1994
-17.445957,-86.42033,1846–1910
-19.592813,-56.50832,1846–1910
58.279182,5.6730037,1911–1943
51.771145,69.84274,1911–1943
55.745697,9.366277,1911–1943
104.1829,-26.658756,1911–1943
39.252903,-57.966503,1911–1943
35.31262,-30.04477,1911–1943
-65.98693,14.465953,1978–1994
15.16289,-75.00513,1846–1910
85.6962,48.895016,1911–1943
